country_name,year,recycling_rate,recycling_rate_glass,recycling_rate_metallic,recycling_rate_packaging,recycling_rate_paper,recycling_rate_plastic,recycling_rate_wooden,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita,total_environm_tax_per_capita,pollut_environm_tax_per_capita,gr_val_add_per_capita,priv_inv_per_capita
Netherlands,2017,54.6,86.2,94.9,78.1,87.1,50.4,72.7,47670.1057253297,91.1219700676602,93.1973,6.4,17924000.0,17131296.0,10.5500219081827,1.81402194499969,72.7198793783845,20789.2487138376,1594.450297280486,204.59631308687912,849.556274084576,485.6608630193536
Netherlands,2018,55.9,85.7,94.8,79.4,87.9,52.0,76.6,48463.0299739951,92.6062472401044,91.8919,7.4,18780000.0,17231624.0,10.6594535821754,1.80973696708679,71.0999984741211,21115.534820813,1657.6499115811719,206.422795669172,855.5780929296043,542.258814375244
Netherlands,2019,56.9,86.6,95.6,80.7,91.0,57.2,70.1,49254.0158854264,93.8898028856479,93.2886,8.6,20129000.0,17344874.0,10.420756670246,1.76715266704559,73.8042606493922,21162.6536668763,1726.7349419776701,218.39305376331936,874.2640621084938,654.1413907071334
Netherlands,2020,57.0,77.1,87.5,76.5,89.4,49.2,68.1,47086.5804192702,94.2532277765935,91.3333,10.7,7265000.0,17441500.0,10.4840023369093,1.8052179813385,72.9599990844727,19706.7212064638,1669.523836825961,221.48324398704239,865.6938910070808,496.8609351259926
Netherlands,2021,57.8,79.0,90.1,76.8,90.4,48.9,66.5,49780.8440526836,94.6294783220315,92.053,12.2,7265000.0,17533044.0,10.7549772867478,1.72513651847839,73.8152267342655,20454.501676659,1745.3900189835833,228.02657656023678,981.1758870849808,590.8842754287276
Netherlands,2022,57.6,78.7,89.1,75.2,90.8,45.7,59.6,51777.5431588864,94.9856177734136,92.5197,12.2,7265000.0,17700982.0,10.3475478456863,1.57889866828918,74.2670364991331,21588.1381373973,1629.8530782077514,230.26971046013153,881.5330132531631,606.7459986118284
Netherlands,2023,58.4,80.6,88.0,75.8,89.4,49.1,57.0,50960.7745021066,95.3221682092129,97.0068,12.2,7265000.0,17877117.0,10.4715307489623,1.62553191184998,74.1197872066975,21463.6826874359,1677.1719959096313,246.7959459011204,886.4404702391331,628.1214135366457
Netherlands,2024,,,,,,,,51178.5256968147,95.6396517079336,97.0068,12.2,7265000.0,17993485.0,10.0682519361509,1.62553191184998,74.1197872066975,21463.6826874359,,,,
Poland,1995,,,,,,,,,,,,,,,,,,,,,
Poland,1996,,,,,,,,,,,,,,,,,,,,,
Poland,1997,,,,,,,,,,,,,,,,,,,,,
Poland,1998,,,,,,,,,,,,,,,,,,,,,
Poland,1999,,,,,,,,,,,,,,,,,,,,,
Poland,2000,2.1,,,,,,,7401.57697647848,61.7459160613903,7.28543,6.9,84515000.0,38258629.0,15.9250946892848,0.568725228309631,70.7310289516892,4678.95072990963,104.42245591184148,10.075112728163887,,
Poland,2001,4.1,,,,,,,7494.96089503246,61.7557708646056,9.90067,7.3,61431000.0,38248076.0,14.4024296292523,0.511825934052467,71.6144959031937,4773.33131279016,120.17022764752925,10.103253298283553,,
Poland,2002,3.1,,,,,,,7640.99307757777,61.7581534555696,21.15,7.5,50735000.0,38230364.0,14.1375374343365,0.454926639795303,71.8899993896484,4952.09412054135,135.25479380735166,11.690445845611096,,
