country_name,year,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita,gdp_per_capita_filled,urban_population_pct_filled,internet_users_pct_filled,renewable_energy_pct_filled,tourism_arrivals_filled,population_total_filled,manufacturing_value_added_pct_gdp_filled,government_effectiveness_estimate_filled,highschool_completed_pct_filled,household_exp_percapita_filled
Romania,2005,6328.09022324183,53.074507031037,21.5,18.5,5839000.0,21319685.0,21.2678992923076,-0.289697855710983,62.532315194077,3784.60221765793,6328.09022324183,53.074507031037,21.5,18.5,5839000.0,21319685.0,21.2678992923076,-0.289697855710983,62.532315194077,3784.60221765793
Serbia,2005,4809.1384076488,57.7508909888183,26.3,16.1,453000.0,7440769.0,21.0434622614494,-0.360925853252411,,3425.18367121034,4809.1384076488,57.7508909888183,26.3,16.1,453000.0,7440769.0,21.0434622614494,-0.360925853252411,62.5499992370605,3425.18367121034
Slovakia,2005,11412.1593630008,55.4189847597721,55.19,6.3,,5372807.0,20.2598119782888,0.877272307872772,,7074.38771031604,11412.1593630008,55.4189847597721,55.19,6.3,12583000.0,5372807.0,20.2598119782888,0.877272307872772,81.510523517521,7074.38771031604
Slovenia,2005,19102.2776603905,50.648781400021,46.81,18.6,1555000.0,2000474.0,20.6496350758894,0.885157346725464,73.620002746582,10361.3267548247,19102.2776603905,50.648781400021,46.81,18.6,1555000.0,2000474.0,20.6496350758894,0.885157346725464,73.620002746582,10361.3267548247
Spain,2005,26294.447384391,77.2206801920294,47.88,7.3,92563000.0,43653155.0,13.5021042492259,1.50157427787781,40.3899993896484,16173.4446285923,26294.447384391,77.2206801920294,47.88,7.3,92563000.0,43653155.0,13.5021042492259,1.50157427787781,40.3899993896484,16173.4446285923
Sweden,2005,46189.6828420555,84.3499984741211,84.83,39.3,4883000.0,9029572.0,16.9320292559906,1.8879017829895,79.0400009155273,20349.7491803579,46189.6828420555,84.3499984741211,84.83,39.3,4883000.0,9029572.0,16.9320292559906,1.8879017829895,79.0400009155273,20349.7491803579
Switzerland,2005,76282.9840696619,73.4951000915434,70.1,18.7,7229000.0,7437115.0,18.7184339839901,1.84628260135651,82.7766577918303,41319.6593686861,76282.9840696619,73.4951000915434,70.1,18.7,7229000.0,7437115.0,18.7184339839901,1.84628260135651,82.7766577918303,41319.6593686861
Türkiye,2005,7623.14640948457,63.3302470273874,15.46,15.3,21125000.0,69329557.0,16.9654070152769,0.144592627882957,22.1900005340576,4665.67886102624,7623.14640948457,63.3302470273874,15.46,15.3,21125000.0,69329557.0,16.9654070152769,0.144592627882957,22.1900005340576,4665.67886102624
Albania,2006,2894.36032580174,47.0701050949378,9.60999,31.6,937000.0,2992547.0,5.30970953926052,-0.580952644348145,,2117.35655091154,2894.36032580174,47.0701050949378,9.60999,31.6,937000.0,2992547.0,5.30970953926052,-0.580952644348145,39.913692520629,2117.35655091154
Austria,2006,42120.1557002022,67.0006968062814,63.6,26.6,20269000.0,8268641.0,18.278172325021,1.82738518714905,75.2988408584927,22818.1789343277,42120.1557002022,67.0006968062814,63.6,26.6,20269000.0,8268641.0,18.278172325021,1.82738518714905,75.2988408584927,22818.1789343277
Belgium,2006,39371.0858277448,83.8578905877926,61.9819,2.9,6995000.0,10547958.0,15.0185375125134,1.74316394329071,57.7299995422363,19743.5912248334,39371.0858277448,83.8578905877926,61.9819,2.9,6995000.0,10547958.0,15.0185375125134,1.74316394329071,57.7299995422363,19743.5912248334
Bosnia and Herzegovina,2006,3419.75887457192,44.4752743285185,25.1224,18.1,256000.0,4063272.0,10.0177872154014,-0.633319139480591,,3006.92069051945,3419.75887457192,44.4752743285185,25.1224,18.1,256000.0,4063272.0,10.0177872154014,-0.633319139480591,51.8769177503296,3006.92069051945
Croatia,2006,12104.0421469867,55.4685969711483,37.98,25.5,47733000.0,4311159.0,13.7707955653637,0.555540442466736,62.2649365189661,7420.73087387146,12104.0421469867,55.4685969711483,37.98,25.5,47733000.0,4311159.0,13.7707955653637,0.555540442466736,62.2649365189661,7420.73087387146
Cyprus,2006,26395.50390625,68.2534151682801,35.83,3.5,2629000.0,1054418.0,6.13120268240117,1.26175379753113,61.2000007629395,16596.041015625,26395.50390625,68.2534151682801,35.83,3.5,2629000.0,1054418.0,6.13120268240117,1.26175379753113,61.2000007629395,16596.041015625
Czechia,2006,16107.3042502688,73.578883191735,47.93,7.9,25102000.0,10238905.0,23.1974657899776,1.08249938488007,85.4800033569336,7583.11626616361,16107.3042502688,73.578883191735,47.93,7.9,25102000.0,10238905.0,23.1974657899776,1.08249938488007,85.4800033569336,7583.11626616361
Denmark,2006,53823.1590295482,86.2501288149818,86.65,15.3,26936000.0,5437272.0,12.0833466711901,2.22395443916321,74.6938038217694,25257.8121905448,53823.1590295482,86.2501288149818,86.65,15.3,26936000.0,5437272.0,12.0833466711901,2.22395443916321,74.6938038217694,25257.8121905448
Estonia,2006,16234.5152041417,67.5557177507269,63.51,17.2,,1346810.0,14.4658199153602,1.14691519737244,84.9199981689453,8192.39436139812,16234.5152041417,67.5557177507269,63.51,17.2,3648000.0,1346810.0,14.4658199153602,1.14691519737244,84.9199981689453,8192.39436139812
Finland,2006,44069.3958834717,68.7588279849327,79.66,31.2,3375000.0,5266268.0,21.8152156935341,2.1676173210144,67.129997253418,21886.5878321588,44069.3958834717,68.7588279849327,79.66,31.2,3375000.0,5266268.0,21.8152156935341,2.1676173210144,67.129997253418,21886.5878321588
France,2006,35645.4162427116,77.3467240068648,46.87,8.5,193882000.0,63622342.0,11.6390346197616,1.62847626209259,54.1190123030074,19074.1674822618,35645.4162427116,77.3467240068648,46.87,8.5,193882000.0,63622342.0,11.6390346197616,1.62847626209259,54.1190123030074,19074.1674822618
